time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/explained_variance,train/clip_range,train/std,train/entropy_loss,train/loss,train/value_loss,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/approx_kl,eval/mean_ep_length,eval/mean_reward
1,-1261.072471,1024,695,1,200.0,,,,,,,,,,,,,
1,-559.2974059999999,2048,1429,2,200.0,0.0,0.2,0.9965317249298096,-1.4173966459929943,78175.53125,301039.80631637573,0.04140625,0.0003,0.0022164001245982947,5,0.0006168878,,
1,-145.89120679999996,3072,2165,3,200.0,0.0,0.2,1.0014246702194214,-1.418105734884739,807.7897338867188,15252.206100463867,0.0015625,0.0003,-0.0012553950975416229,10,0.0023022615,,
1,144.032937,4096,2921,4,200.0,0.0,0.2,1.0057297945022583,-1.4223096743226051,4519.16552734375,15685.955093383789,0.0421875,0.0003,-1.2349896132946015e-05,15,0.004935239,,
,,5000,,,,5.960464477539063e-08,0.2,1.0070669651031494,-1.4252719737589359,1650.2259521484375,35504.01368942261,0.017578125,0.0003,-6.000219145789743e-05,20,0.0071022874,200.0,79.193209738125
1,219.73401572,5120,4504,5,200.0,,,,,,,,,,,,,
1,251.16073333333333,6144,5332,6,200.0,0.0,0.2,1.0086266994476318,-1.4269740402698516,1301.1329345703125,4892.079810333252,0.0171875,0.0003,-0.0016732454299926759,25,0.0055479086,,
1,258.45414754285713,7168,6185,7,200.0,0.0,0.2,1.0213569402694702,-1.433396180719137,1027.1116943359375,6102.2128036499025,0.065625,0.0003,-0.0016387053387006746,30,0.017235246,,
1,218.4381045,8192,7075,8,200.0,5.960464477539063e-08,0.2,1.021437644958496,-1.4404729843139648,2309.333984375,4593.638728332519,0.0,0.0003,4.2150725494138894e-05,35,7.627462e-05,,
1,258.4705600869566,9216,8011,9,200.0,5.960464477539063e-08,0.2,1.0181916952133179,-1.4410633817315102,26500.16015625,60788.1950592041,0.031640625,0.0003,0.0003443176334258169,40,0.008707372,,
,,10000,,,,0.0,0.2,1.0182244777679443,-1.4367701180279255,4174.4267578125,9113.093296051025,0.0,0.0003,-0.00014777517935726792,45,0.00038257462,200.0,27.895860835135682
1,444.6537384313725,10240,10019,10,200.0,,,,,,,,,,,,,
